Дата,Курс,Отклонение от медианы,Отклонение от среднего
2022-11-01,61.6229,30.2303,18.35757419829843
2022-10-29,61.5343,30.1417,18.26897419829843
2022-10-28,61.3589,29.966299999999997,18.093574198298427
2022-10-27,61.4277,30.0351,18.16237419829843
2022-10-26,61.3326,29.939999999999998,18.067274198298428
2022-10-25,61.1629,29.7703,17.89757419829843
2022-10-22,61.1958,29.803199999999997,17.930474198298427
2022-10-21,61.5018,30.1092,18.23647419829843
2022-10-20,61.5905,30.197899999999997,18.325174198298427
2022-10-19,61.7032,30.3106,18.43787419829843
2022-10-18,61.7634,30.370799999999996,18.498074198298426
2022-10-15,63.0558,31.663199999999996,19.790474198298426
2022-10-14,63.4917,32.0991,20.22637419829843
2022-10-13,63.7559,32.363299999999995,20.490574198298425
2022-10-12,63.684,32.291399999999996,20.418674198298426
2022-10-11,62.3126,30.92,19.04727419829843
2022-10-08,61.2475,29.8549,17.98217419829843
2022-10-07,60.2534,28.860799999999998,16.988074198298428
2022-10-06,59.4043,28.011699999999998,16.138974198298428
2022-10-05,58.7913,27.398699999999998,15.525974198298428
2022-10-04,57.5664,26.1738,14.30107419829843
2022-10-01,55.2987,23.906099999999995,12.033374198298425
2022-09-30,57.413,26.020399999999995,14.147674198298425
2022-09-29,58.4485,27.0559,15.183174198298431
2022-09-28,58.1756,26.783,14.910274198298431
2022-09-27,57.999,26.6064,14.73367419829843
2022-09-24,58.1006,26.708,14.835274198298428
2022-09-23,59.8318,28.4392,16.56647419829843
2022-09-22,60.8685,29.475899999999996,17.603174198298426
2022-09-21,60.0158,28.623199999999997,16.750474198298427
2022-09-20,60.1662,28.773600000000002,16.900874198298432
2022-09-17,60.0316,28.638999999999996,16.766274198298426
2022-09-16,59.6663,28.273699999999998,16.400974198298428
2022-09-15,59.7751,28.3825,16.50977419829843
2022-09-14,60.0676,28.674999999999997,16.802274198298427
2022-09-13,60.4568,29.0642,17.19147419829843
2022-09-10,60.4696,29.076999999999998,17.204274198298428
2022-09-09,60.801,29.4084,17.53567419829843
2022-09-08,61.1814,29.788799999999995,17.916074198298425
2022-09-07,60.8544,29.461799999999997,17.589074198298427
2022-09-06,60.9033,29.5107,17.63797419829843
2022-09-03,60.3713,28.978699999999996,17.105974198298426
2022-09-02,60.237,28.8444,16.97167419829843
2022-09-01,60.2386,28.845999999999997,16.973274198298427
2022-08-31,60.3677,28.975099999999998,17.102374198298428
2022-08-30,60.3636,28.970999999999997,17.098274198298427
2022-08-27,60.0924,28.699799999999996,16.827074198298426
2022-08-26,59.7699,28.377299999999998,16.504574198298428
2022-08-25,59.9974,28.604799999999997,16.732074198298427
2022-08-24,59.8963,28.503699999999995,16.630974198298425
2022-08-23,59.7419,28.3493,16.47657419829843
2022-08-20,59.1321,27.7395,15.86677419829843
2022-08-19,59.957,28.5644,16.69167419829843
2022-08-18,60.7552,29.3626,17.48987419829843
2022-08-17,61.4247,30.0321,18.15937419829843
2022-08-16,61.3747,29.982099999999996,18.109374198298426
2022-08-13,60.8993,29.506699999999995,17.633974198298425
2022-08-12,60.6229,29.2303,17.35757419829843
2022-08-11,60.4542,29.0616,17.18887419829843
2022-08-10,60.3814,28.988799999999998,17.116074198298428
2022-08-09,60.3164,28.9238,17.05107419829843
2022-08-06,60.3696,28.976999999999997,17.104274198298427
2022-08-05,60.258,28.8654,16.99267419829843
2022-08-04,60.2374,28.8448,16.97207419829843
2022-08-03,60.1595,28.7669,16.89417419829843
2022-08-02,62.0506,30.658,18.78527419829843
2022-07-30,61.3101,29.917499999999997,18.044774198298427
2022-07-29,60.2031,28.810499999999998,16.937774198298428
2022-07-28,60.2198,28.827199999999998,16.954474198298428
2022-07-27,58.6605,27.267899999999997,15.395174198298427
2022-07-26,57.7821,26.389499999999998,14.516774198298428
2022-07-23,57.3917,25.9991,14.126374198298429
2022-07-22,56.4783,25.085699999999996,13.212974198298426
2022-07-21,54.8491,23.4565,11.583774198298428
