Дата,Температура
2011/07/30,+31
2011/07/31,+29
2011/08/1,+21
2011/08/2,+18
2011/08/3,+21
2011/08/4,+22
2011/08/5,+19
2011/08/6,+22
2011/08/7,+23
2011/08/8,+27
2011/08/9,+29
2011/08/10,+32
2011/08/11,+31
2011/08/12,+34
2011/08/13,+28
2011/08/14,+29
2011/08/15,+33
2011/08/16,+31
2011/08/17,+25
2011/08/18,+23
2011/08/19,+22
2011/08/20,+19
2011/08/21,+22
2011/08/22,+14
2011/08/23,+18
2011/08/24,+13
2011/08/25,+18
2011/08/26,+22
2011/08/27,+22
2011/08/28,+20
2011/08/29,+21
2011/08/30,+27
2011/08/31,+30
2011/09/1,+29
2011/09/2,+28
2011/09/3,+22
2011/09/4,+21
2011/09/5,+19
2011/09/6,+18
2011/09/7,+13
2011/09/8,+14
2011/09/9,+20
2011/09/10,+16
2011/09/11,+16
2011/09/12,+14
2011/09/13,+15
2011/09/14,+17
2011/09/15,+22
2011/09/16,+15
2011/09/17,+17
2011/09/18,+15
2011/09/19,+15
2011/09/20,+14
2011/09/21,+10
2011/09/22,+10
2011/09/23,+13
2011/09/24,+20
2011/09/25,+10
2011/09/26,+11
2011/09/27,+9
2011/09/28,+9
2011/09/29,+10
2011/09/30,+13
2011/10/1,+12
2011/10/2,+7
2011/10/3,+10
2011/10/4,+9
2011/10/5,+9
2011/10/6,+12
2011/10/7,+14
2011/10/8,+16
2011/10/9,+17
2011/10/10,+17
2011/10/11,+15
2011/10/12,+17
2011/10/13,+19
2011/10/14,+11
2011/10/15,+10
2011/10/16,+6
2011/10/17,+6
2011/10/18,+7
2011/10/19,+9
2011/10/20,+12
2011/10/21,+15
2011/10/22,+8
2011/10/23,+8
2011/10/24,+4
2011/10/25,+4
2011/10/26,+3
2011/10/27,+3
2011/10/28,+1
2011/10/29,+1
2011/10/30,+3
2011/10/31,+7
2011/11/1,+7
2011/11/2,+6
2011/11/3,+5
2011/11/4,+1
2011/11/5,-7
2011/11/6,-9
2011/11/7,-5
2011/11/8,-3
2011/11/9,-4
